data_size, threads, time
20000, 1, 1.15096
20000, 1, 1.14496
20000, 1, 1.42854
20000, 1, 1.12442
20000, 1, 1.30389
20000, 1, 1.15113
20000, 1, 1.1416
20000, 1, 1.4659
20000, 1, 1.15688
20000, 1, 1.13025
20000, 1, 1.46133
20000, 1, 1.1353
20000, 1, 1.12604
20000, 1, 1.46542
20000, 1, 1.12342
20000, 1, 1.15437
20000, 1, 1.4658
20000, 1, 1.19288
20000, 1, 1.16985
20000, 1, 1.17279
20000, 1, 1.1525
20000, 1, 1.1378
20000, 1, 1.16728
20000, 1, 1.15262
20000, 1, 1.39748
20000, 1, 1.14343
20000, 1, 1.13589
20000, 1, 1.14689
20000, 1, 1.12186
20000, 1, 1.13744
20000, 1, 1.15314
20000, 1, 1.12665
20000, 1, 1.14147
20000, 1, 1.15882
20000, 1, 1.10735
20000, 1, 1.18124
20000, 1, 1.1369
20000, 1, 1.12667
20000, 1, 1.23448
20000, 1, 1.13328
20000, 1, 1.12144
20000, 1, 1.12357
20000, 1, 1.13487
20000, 1, 1.1283
20000, 1, 1.13335
20000, 1, 1.14475
20000, 1, 1.13796
20000, 1, 1.14727
20000, 1, 1.11338
20000, 1, 1.12732
20000, 1, 1.13448
20000, 1, 1.1165
20000, 1, 1.13619
20000, 1, 1.13207
20000, 1, 1.14826
20000, 1, 1.14184
20000, 1, 1.12324
20000, 1, 1.13981
20000, 1, 1.27637
20000, 1, 1.12406
20000, 1, 1.1317
20000, 1, 1.32868
20000, 1, 1.16638
20000, 1, 1.12838
20000, 1, 1.37317
20000, 1, 1.12812
20000, 1, 1.13198
20000, 1, 1.37248
20000, 1, 1.14277
20000, 1, 1.11681
20000, 1, 1.41855
20000, 1, 1.12474
20000, 1, 1.1151
20000, 1, 1.31399
20000, 1, 1.11099
20000, 1, 1.12331
20000, 1, 1.18045
20000, 1, 1.12936
20000, 1, 1.13896
20000, 1, 1.13839
20000, 1, 1.13894
20000, 1, 1.13026
20000, 1, 1.36349
20000, 1, 1.11945
20000, 1, 1.13424
20000, 1, 1.29844
20000, 1, 1.1154
20000, 1, 1.14314
20000, 1, 1.1392
20000, 1, 1.12738
20000, 1, 1.16036
20000, 1, 1.13309
20000, 1, 1.12714
20000, 1, 1.12674
20000, 1, 1.12163
20000, 1, 1.14931
20000, 1, 1.12673
20000, 1, 1.40053
20000, 1, 1.13027
20000, 1, 1.11901
20000, 2, 0.585271
20000, 2, 0.580473
20000, 2, 0.597819
20000, 2, 0.581888
20000, 2, 0.598232
20000, 2, 0.580332
20000, 2, 0.581764
20000, 2, 0.581589
20000, 2, 0.579757
20000, 2, 0.575526
20000, 2, 0.575582
20000, 2, 0.574434
20000, 2, 0.563447
20000, 2, 0.562544
20000, 2, 0.563857
20000, 2, 0.56238
20000, 2, 0.816254
20000, 2, 0.567988
20000, 2, 0.927765
20000, 2, 0.567136
20000, 2, 0.564722
20000, 2, 0.569094
20000, 2, 0.586375
20000, 2, 0.570582
20000, 2, 0.572299
20000, 2, 0.562504
20000, 2, 0.574544
20000, 2, 0.567198
20000, 2, 0.56461
20000, 2, 0.573381
20000, 2, 0.587598
20000, 2, 0.561638
20000, 2, 0.563461
20000, 2, 0.566425
20000, 2, 0.591511
20000, 2, 0.567809
20000, 2, 0.565735
20000, 2, 0.562776
20000, 2, 0.563288
20000, 2, 0.57118
20000, 2, 0.563175
20000, 2, 0.587631
20000, 2, 0.58736
20000, 2, 0.564235
20000, 2, 0.572224
20000, 2, 0.969812
20000, 2, 0.576499
20000, 2, 0.660253
20000, 2, 0.610244
20000, 2, 0.603672
20000, 2, 0.564367
20000, 2, 0.564604
20000, 2, 0.560964
20000, 2, 0.56336
20000, 2, 0.565729
20000, 2, 0.574545
20000, 2, 0.564297
20000, 2, 0.562495
20000, 2, 0.569685
20000, 2, 0.563018
20000, 2, 0.562764
20000, 2, 0.567557
20000, 2, 0.564013
20000, 2, 0.566083
20000, 2, 0.561783
20000, 2, 0.562271
20000, 2, 0.570018
20000, 2, 0.591106
20000, 2, 0.598912
20000, 2, 0.563914
20000, 2, 0.561202
20000, 2, 0.594203
20000, 2, 0.564239
20000, 2, 0.577361
20000, 2, 0.589147
20000, 2, 0.566616
20000, 2, 0.570191
20000, 2, 0.563005
20000, 2, 0.566757
20000, 2, 0.573622
20000, 2, 0.577003
20000, 2, 0.564584
20000, 2, 0.567661
20000, 2, 0.572563
20000, 2, 0.570649
20000, 2, 0.576671
20000, 2, 0.567919
20000, 2, 0.571078
20000, 2, 0.574397
20000, 2, 0.573256
20000, 2, 0.574254
20000, 2, 0.570953
20000, 2, 0.571359
20000, 2, 0.578363
20000, 2, 0.577354
20000, 2, 0.609184
20000, 2, 0.583412
20000, 2, 0.577801
20000, 2, 0.580934
20000, 2, 0.582693
20000, 4, 0.299311
20000, 4, 0.293778
20000, 4, 0.287158
20000, 4, 0.287032
20000, 4, 0.289555
20000, 4, 0.290438
20000, 4, 0.326075
20000, 4, 0.309826
20000, 4, 0.307572
20000, 4, 0.300141
20000, 4, 0.323751
20000, 4, 0.298483
20000, 4, 0.290127
20000, 4, 0.314844
20000, 4, 0.288304
20000, 4, 0.323757
20000, 4, 0.304889
20000, 4, 0.293646
20000, 4, 0.288712
20000, 4, 0.291518
20000, 4, 0.286921
20000, 4, 0.300617
20000, 4, 0.326843
20000, 4, 0.28895
20000, 4, 0.286569
20000, 4, 0.297708
20000, 4, 0.307591
20000, 4, 0.288935
20000, 4, 0.294188
20000, 4, 0.290866
20000, 4, 0.299002
20000, 4, 0.289801
20000, 4, 0.284398
20000, 4, 0.289881
20000, 4, 0.295605
20000, 4, 0.302269
20000, 4, 0.318022
20000, 4, 0.288699
20000, 4, 0.288807
20000, 4, 0.301287
20000, 4, 0.303497
20000, 4, 0.288532
20000, 4, 0.301714
20000, 4, 0.293921
20000, 4, 0.285794
20000, 4, 0.293125
20000, 4, 0.282814
20000, 4, 0.294033
20000, 4, 0.283922
20000, 4, 0.288814
20000, 4, 0.292397
20000, 4, 0.288557
20000, 4, 0.294449
20000, 4, 0.296308
20000, 4, 0.285524
20000, 4, 0.297384
20000, 4, 0.288958
20000, 4, 0.288902
20000, 4, 0.307987
20000, 4, 0.288404
20000, 4, 0.286741
20000, 4, 0.296245
20000, 4, 0.285086
20000, 4, 0.288303
20000, 4, 0.294051
20000, 4, 0.319478
20000, 4, 0.307747
20000, 4, 0.313181
20000, 4, 0.297519
20000, 4, 0.296348
20000, 4, 0.310345
20000, 4, 0.319257
20000, 4, 0.291764
20000, 4, 0.297162
20000, 4, 0.289437
20000, 4, 0.295641
20000, 4, 0.287764
20000, 4, 0.286069
20000, 4, 0.291503
20000, 4, 0.291104
20000, 4, 0.307419
20000, 4, 0.29916
20000, 4, 0.302092
20000, 4, 0.287635
20000, 4, 0.293897
20000, 4, 0.293931
20000, 4, 0.293175
20000, 4, 0.284091
20000, 4, 0.291243
20000, 4, 0.284233
20000, 4, 0.286962
20000, 4, 0.29767
20000, 4, 0.301214
20000, 4, 0.286076
20000, 4, 0.284931
20000, 4, 0.283625
20000, 4, 0.286197
20000, 4, 0.297151
20000, 4, 0.30113
20000, 4, 0.281781
20000, 7, 0.165346
20000, 7, 0.165589
20000, 7, 0.162823
20000, 7, 0.175305
20000, 7, 0.172111
20000, 7, 0.171346
20000, 7, 0.16296
20000, 7, 0.167627
20000, 7, 0.167976
20000, 7, 0.163836
20000, 7, 0.166577
20000, 7, 0.169788
20000, 7, 0.166514
20000, 7, 0.167074
20000, 7, 0.182099
20000, 7, 0.167435
20000, 7, 0.186309
20000, 7, 0.16568
20000, 7, 0.166149
20000, 7, 0.16757
20000, 7, 0.180387
20000, 7, 0.172654
20000, 7, 0.17209
20000, 7, 0.17289
20000, 7, 0.167034
20000, 7, 0.168063
20000, 7, 0.169079
20000, 7, 0.166674
20000, 7, 0.168308
20000, 7, 0.166981
20000, 7, 0.172795
20000, 7, 0.17555
20000, 7, 0.179
20000, 7, 0.169831
20000, 7, 0.205785
20000, 7, 0.168501
20000, 7, 0.171052
20000, 7, 0.17505
20000, 7, 0.167989
